# Generated from Wikidata person and family-name labels for selected scholarly occupations.
# name\tkind\tWikidata entity
Abd al-Sattar Abu Ghudda	label	Q12222877
Abd Allah ibn Amr ibn al-As	label	Q2815298
Abd ar-Rahman ibn Khalifa	label	Q19953017
Abd as-Salam ibn Muhammad al-Alami	label	Q12222908
Abd El Aziz Muhammad Hegazi	label	Q224359
Abd El Razzaq Al-Jazaïri	label	Q98785828
Abd Elhameed Elshamy	label	Q16128332
Abd-ru-shin	label	Q61980
Abdala	family	Q123786449
Abdalati	family	Q7961677
Abdalkarim Awad	label	Q102435378
Abdalla	family	Q6833911
Abdalla G. M. Ahmed	label	Q103007574
Abdalla Hamdok	label	Q27654948
Abdallah	family	Q102426912
Abdallah al-Qutbi	label	Q4664680
Abdallah Daddi-Moussa-Ider	label	Q50613914
Abdallah Laroui	label	Q1753931
Abdallah Maichine	label	Q103035700
Abdallah Sayyed Ahmad	label	Q38799427
Abdallatif Abuissa	label	Q73070140
Abdalqadir as-Sufi	label	Q508730
Abdel	family	Q112497290
Abdel Fattah al-Maghrabi	label	Q20412384
Abdel Hamid Badawi	label	Q317257
Abdel Hussein Charafeddine al-Musawi	label	Q4117186
Abdel Kader Hamza	label	Q102655208
Abdel Munem Mohammad Baker	label	Q112368466
Abdel Nasser Tawfik	label	Q4664771
Abdel Rahman Al-Tawaha	label	Q84451479
Abdel Rahman Badawi	label	Q2223815
Abdel Salam Hamdy Makhlouf	label	Q124309448
Abdel Wahab El-Messiri	label	Q4664778
Abdel-Fattah Al-Qadi	label	Q54862040
Abdel-Hakim Ourghi	label	Q25930474
Abdel-Hameed Mohamed Bashir	label	Q102549352
Abdel-Hamid Bello	label	Q135266412
Abdel-Latef Anouze	label	Q87223267
Abdel-Mohsen Onsy Mohamed	label	Q112344081
Abdel-Moniem El-Ganayni	label	Q4664729
Abdel-Rahman	family	Q12237891
Abdel-rahman Mohamed	label	Q103330544
Abdel-Razzaq Ahmad Mugdadi	label	Q102205548
Abdel-Shafi	family	Q2213790
Abdelaal	family	Q124308539
Abdelali Gabih	label	Q103261694
Abdelatif Fekkak	label	Q106940741
Abdelazim M. Negm	label	Q112544527
Abdelaziz Belal	label	Q60448345
Abdelaziz Chaoubi	label	Q102182319
Abdelaziz Chetouani	label	Q102269368
Abdelaziz Guerrouat	label	Q102725708
Abdelaziz Maouche	label	Q102182325
Abdelaziz Rhandi	label	Q102181176
Abdelbaki Boutabaa	label	Q102436607
Abdelfatah Bouziani	label	Q106638626
Abdelfattah Belghith	label	Q92671583
Abdelghani Ouahab	label	Q102326054
Abdelghani Zeghib	label	Q102236547
Abdelhadi Akharif	label	Q102257805
Abdelhadi Es-Sarhir	label	Q102271830
Abdelhak Jamali	label	Q102182244
Abdelhak M Zoubir	label	Q91158923
Abdelhak Senadjki	label	Q99366690
Abdelhak Senhadji	label	Q102443467
Abdelhakim Aknouche	label	Q102398498
Abdelhakim Artiba	label	Q47653470
